Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Johan Vásquez,Cremonese,Serie A,2022,23,Defender,CB,3,203,0,,0.016,0.007,0.016,0.007,,,,,0,,0.022,0.01,0.022,0.01,0.016,0.007,0.061,0.027,0.05,0.022,0.01,0.005
Luka Lochoshvili,Cremonese,Serie A,2022,24,Defender,CB,4,332,0,,0.028,0.008,0.028,0.008,0.024,,-0.004,,0,,0.052,0.014,0.051,0.014,0.016,0.004,0.232,0.063,0.21,0.057,0.023,0.006
Omar Colley,Sampdoria,Serie A,2022,29,Defender,CB,5,450,0,,0.085,0.017,0.085,0.017,0.025,,-0.016,,0,,0.065,0.013,0.065,0.013,0.015,0.003,0.234,0.047,0.199,0.04,0.035,0.007
Elseid Hysaj,Lazio,Serie A,2022,28,Defender,FB,4,45,0,,,,,,,,,,0,,0.029,0.059,0.028,0.056,0.015,0.03,0.046,0.092,0.031,0.063,0.014,0.029
Nikola Moro,Bologna,Serie A,2022,24,Midfielder,DMC,1,45,0,,,,,,,,,,0,,0.015,0.031,0.015,0.031,0.014,0.029,0.011,0.021,0.012,0.024,-0.002,-0.003
Sebastiano Luperto,Empoli,Serie A,2022,26,Defender,CB,5,426,0,,0.024,0.005,0.024,0.005,0.062,,0.038,,0,,0.037,0.008,0.031,0.007,0.014,0.003,0.148,0.031,0.118,0.025,0.03,0.006
Bram Nuytinck,Udinese,Serie A,2022,32,Defender,CB,4,293,0,,0.021,0.007,0.021,0.007,,,,,0,,0.01,0.003,0.009,0.003,0.014,0.004,0.034,0.01,0.021,0.006,0.013,0.004
Mattia Valoti,Monza,Serie A,2022,29,Midfielder,CAM,4,209,0,,,,,,,,,,0,,0.033,0.014,0.033,0.014,0.013,0.006,0.026,0.011,0.021,0.009,0.004,0.002
Pablo Rodríguez,Lecce,Serie A,2022,21,Forward,FW,2,30,0,,,,,,,,,,0,,0.021,0.063,0.021,0.063,0.013,0.039,0.071,0.212,0.068,0.205,0.003,0.008
Abdou Harroui,Sassuolo,Serie A,2022,24,Midfielder,CM,5,77,0,,,,,,,,,,0,,0.03,0.035,0.03,0.035,0.013,0.015,0.039,0.046,0.022,0.025,0.018,0.021
Alessandro Tuia,Lecce,Serie A,2022,32,Defender,CB,2,180,0,,0.056,0.028,0.056,0.028,0.048,,0.014,,0,,0.027,0.013,0.015,0.008,0.012,0.006,0.055,0.027,0.05,0.025,0.004,0.002
Diego Valencia,Salernitana,Serie A,2022,22,Forward,FW,4,55,0,,,,,,,,,,0,,0.016,0.027,0.016,0.027,0.011,0.018,0.004,0.006,0.001,0.002,0.002,0.004
Pietro Terracciano,Fiorentina,Serie A,2022,32,Goalkeeper,GK,3,270,0,,,,,,,2.864,,-0.397,0,,0.016,0.005,0.014,0.005,0.01,0.003,0.079,0.026,0.075,0.025,0.004,0.001
Michele Castagnetti,Cremonese,Serie A,2022,32,Midfielder,DMC,2,38,0,,,,,,,,,,0,,0.021,0.051,0.012,0.029,0.01,0.024,0.015,0.036,0.006,0.015,0.009,0.021
Martin Erlic,Sassuolo,Serie A,2022,24,Defender,CB,4,360,0,,,,,,,,,,0,,0.022,0.005,0.021,0.005,0.01,0.002,0.128,0.032,0.105,0.026,0.023,0.006
Andrea Carboni,Monza,Serie A,2022,21,Defender,CB,2,117,0,,,,,,,,,,0,,0.015,0.012,0.014,0.011,0.009,0.007,0.033,0.026,0.019,0.015,0.014,0.011
Luigi Sepe,Salernitana,Serie A,2022,31,Goalkeeper,GK,6,540,0,,,,,,,7.408,,0.19,0,,0.018,0.003,0.015,0.002,0.009,0.001,0.085,0.014,0.084,0.014,0.001,0
Rui Patrício,Roma,Serie A,2022,34,Goalkeeper,GK,6,540,0,,,,,,,2.792,,-1.149,0,,0.014,0.002,0.012,0.002,0.009,0.001,0.075,0.013,0.074,0.012,0.001,0
Alex Meret,Napoli,Serie A,2022,25,Goalkeeper,GK,6,540,0,,,,,,,4.231,,0.055,0,,0.015,0.002,0.014,0.002,0.008,0.001,0.109,0.018,0.098,0.016,0.011,0.002
Tommaso Pobega,Milan,Serie A,2022,23,Midfielder,CM,5,175,0,,0.097,0.05,0.097,0.05,0.03,,-0.018,,0,,0.141,0.073,0.141,0.073,0.008,0.004,0.049,0.025,0.039,0.02,0.01,0.005
Isak Hien,Verona,Serie A,2022,23,Defender,CB,4,250,0,,,,,,,,,,0,,0.025,0.009,0.022,0.008,0.008,0.003,0.073,0.026,0.084,0.03,-0.011,-0.004
Michel Aebischer,Bologna,Serie A,2022,25,Midfielder,CM,5,153,0,,0.074,0.043,0.074,0.043,,,,,0,,0.049,0.029,0.019,0.011,0.008,0.005,0.035,0.021,0.02,0.012,0.015,0.009
Marco Silvestri,Udinese,Serie A,2022,31,Goalkeeper,GK,6,540,0,,,,,,,6.285,,0.045,0,,0.014,0.002,0.012,0.002,0.008,0.001,0.087,0.014,0.084,0.014,0.003,0.001
