Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Iván Márquez,N.E.C.,Eredivise,2022,28,Defender,CB,5,450,1,0.2,0.485,0.097,0.485,0.097,0.881,,0.491,,0,,0.04,0.008,0.04,0.008,0.227,0.045,0.236,0.047,0.214,0.043,0.022,0.004
Jacky Donkor,Excelsior Rotterdam,Eredivise,2022,23,Forward,WAM,3,26,0,,0.107,0.371,0.107,0.371,0.257,,0.167,,0,,0.135,0.466,0.134,0.466,0.227,0.785,0.059,0.204,0.048,0.166,0.011,0.037
Tom Boere,SC Cambuur,Eredivise,2022,29,Forward,FW,3,49,0,,0.268,0.492,0.268,0.492,,,,,0,,0.407,0.748,0.407,0.748,0.227,0.416,0.046,0.085,0.031,0.057,0.015,0.028
Michel Vlap,FC Twente,Eredivise,2022,25,Midfielder,CAM,3,154,0,,0.367,0.214,0.367,0.214,0.22,,-0.147,,1,0.584,0.335,0.196,0.335,0.196,0.223,0.13,-0.021,-0.012,-0.045,-0.026,0.024,0.014
Mats Seuntjens,Fortuna Sittard,Eredivise,2022,30,Midfielder,WAM,5,450,0,,0.147,0.029,0.147,0.029,0.12,,0.029,,1,0.2,0.726,0.145,0.269,0.054,0.219,0.044,0.33,0.066,0.163,0.033,0.166,0.033
Mats Köhlert,sc Heerenveen,Eredivise,2022,24,Forward,WAM,5,422,0,,0.155,0.033,0.155,0.033,0.211,,0.153,,0,,0.309,0.066,0.306,0.065,0.201,0.043,0.364,0.078,0.364,0.078,0,0
Sven Mijnans,Sparta Rotterdam,Eredivise,2022,22,Midfielder,CM,5,235,1,0.383,0.414,0.159,0.414,0.159,1.42,,1.179,,0,,0.264,0.101,0.263,0.101,0.199,0.076,0,0,0.05,0.019,-0.05,-0.019
Rodrigo Guth,Fortuna Sittard,Eredivise,2022,21,Defender,CB,5,438,1,0.205,0.373,0.077,0.373,0.077,0.764,,0.434,,0,,0.021,0.004,0.021,0.004,0.199,0.041,0.017,0.004,-0.009,-0.002,0.026,0.005
Bart van Rooij,N.E.C.,Eredivise,2022,21,Defender,FB,5,450,0,,0.115,0.023,0.115,0.023,,,,,0,,0.308,0.062,0.253,0.051,0.193,0.039,0.285,0.057,0.175,0.035,0.11,0.022
Joost van Aken,sc Heerenveen,Eredivise,2022,28,Defender,CB,5,450,0,,0.195,0.039,0.195,0.039,0.395,,0.344,,0,,0.065,0.013,0.064,0.013,0.192,0.038,0.225,0.045,0.169,0.034,0.056,0.011
Amin Younes,FC Utrecht,Eredivise,2022,29,Forward,CAM,1,1,0,,0.112,10.043,0.112,10.043,,,,,0,,0.085,7.61,0.085,7.61,0.191,17.191,0.12,10.798,0.082,7.364,0.038,3.434
Ismael Saibari,PSV,Eredivise,2022,21,Midfielder,CAM,3,120,0,,0.683,0.512,0.683,0.512,0.23,,0.15,,1,0.75,0.34,0.255,0.34,0.255,0.188,0.141,0.07,0.053,-0.006,-0.005,0.077,0.057
Sai van Wermeskerken,SC Cambuur,Eredivise,2022,28,Defender,FB,3,193,0,,0.053,0.025,0.053,0.025,,,,,0,,0.141,0.066,0.14,0.065,0.188,0.087,0.097,0.045,0.084,0.039,0.013,0.006
Mathias Kjølø,FC Twente,Eredivise,2022,21,Midfielder,CAM,3,201,0,,0.073,0.033,0.073,0.033,,,,,0,,0.139,0.062,0.139,0.062,0.186,0.083,0.045,0.02,0.04,0.018,0.004,0.002
Evert Linthorst,Go Ahead Eagles,Eredivise,2022,22,Midfielder,CM,5,340,0,,0.082,0.022,0.082,0.022,,,,,0,,0.26,0.069,0.26,0.069,0.186,0.049,0.194,0.051,0.288,0.076,-0.094,-0.025
