Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Lukas Petkov,FC Augsburg,Bundesliga,2022,21,Forward,FW,2,21,0,,,,,,,,,,0,,0.001,0.004,0.001,0.004,-0.005,-0.02,0.006,0.026,0.008,0.033,-0.002,-0.008
André Silva,RB Leipzig,Bundesliga,2022,26,Forward,FW,5,207,0,,0.434,0.189,0.434,0.189,0.257,,0.023,,0,,0.534,0.232,0.534,0.232,-0.005,-0.002,-0.004,-0.002,-0.128,-0.056,0.124,0.054
Márton Dárdai,Hertha BSC,Bundesliga,2022,20,Defender,CB,4,122,0,,0.03,0.022,0.03,0.022,,,,,0,,0.011,0.008,0.011,0.008,-0.006,-0.004,0.08,0.059,0.069,0.051,0.012,0.009
Paul Seguin,1. FC Union Berlin,Bundesliga,2022,27,Midfielder,CM,1,5,0,,,,,,,,,,0,,0.001,0.025,0.001,0.025,-0.006,-0.113,0.004,0.068,0.005,0.091,-0.001,-0.022
Florian Niederlechner,FC Augsburg,Bundesliga,2022,31,Forward,FW,4,106,0,,0.112,0.095,0.112,0.095,0.272,,0.211,,0,,0.003,0.002,0.003,0.002,-0.008,-0.006,-0.01,-0.008,-0.013,-0.011,0.003,0.003
Stefan Lainer,Borussia Mönchengladbach,Bundesliga,2022,30,Defender,FB,1,6,0,,,,,,,,,,0,,0.003,0.038,0.003,0.038,-0.008,-0.123,0.005,0.08,0.004,0.063,0.001,0.017
Alexander Sørloth,RB Leipzig,Bundesliga,2022,26,Forward,FW,1,5,0,,,,,,,,,,0,,0.011,0.204,0.011,0.204,-0.008,-0.152,-0.072,-1.301,-0.072,-1.301,,
Kevin Behrens,1. FC Union Berlin,Bundesliga,2022,31,Forward,FW,5,141,0,,0.048,0.031,0.048,0.031,0.255,,0.206,,1,0.638,0.117,0.074,0.117,0.074,-0.009,-0.006,0.164,0.105,0.116,0.074,0.048,0.031
Jordi Osei-Tutu,VfL Bochum 1848,Bundesliga,2022,23,Defender,FB,5,214,0,,0.056,0.023,0.056,0.023,0.048,,0.034,,0,,0.056,0.023,0.053,0.022,-0.01,-0.004,0.103,0.043,0.034,0.014,0.069,0.029
Myziane Maolida,Hertha BSC,Bundesliga,2022,23,Forward,WAM,1,56,0,,,,,,,,,,0,,0,0,0,0,-0.014,-0.022,0.005,0.007,0.002,0.004,0.002,0.003
Rubén Vargas,FC Augsburg,Bundesliga,2022,24,Midfielder,WAM,3,101,0,,0.065,0.058,0.065,0.058,,,,,0,,0.029,0.026,0.029,0.026,-0.014,-0.013,0.055,0.049,0.045,0.04,0.01,0.009
