Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Bebé,Rayo Vallecano,La Liga,2022,32,Forward,WAM,1,33,0,,0.035,0.095,0.035,0.095,,,,,0,,0.022,0.059,0.001,0.002,0.028,0.077,0.02,0.056,-0.015,-0.04,0.035,0.095
Luis Pérez,Real Valladolid,La Liga,2022,27,Defender,FB,3,270,0,,,,,,,,,,0,,0.048,0.016,0.045,0.015,0.028,0.009,0.097,0.032,0.07,0.023,0.027,0.009
Stefan Savic,Atlético de Madrid,La Liga,2022,31,Defender,CB,2,166,0,,,,,,,,,,0,,0.034,0.018,0.034,0.018,0.027,0.015,0.077,0.042,0.057,0.031,0.02,0.011
Predrag Rajkovic,Mallorca,La Liga,2022,26,Goalkeeper,GK,4,360,0,,,,,,,4.641,,0.354,0,,0.052,0.013,0.031,0.008,0.027,0.007,0.103,0.026,0.097,0.024,0.006,0.001
Victor Chust,Cádiz,La Liga,2022,22,Defender,CB,4,315,0,,,,,,,,,,0,,0.038,0.011,0.036,0.01,0.027,0.008,0.176,0.05,0.149,0.043,0.026,0.008
Marc-André ter Stegen,Barcelona,La Liga,2022,30,Goalkeeper,GK,4,360,0,,,,,,,3.31,,0.698,0,,0.034,0.009,0.033,0.008,0.026,0.006,0.137,0.034,0.119,0.03,0.018,0.005
Willian José,Real Betis,La Liga,2022,30,Forward,FW,1,19,0,,,,,,,,,,0,,0.054,0.256,0.054,0.256,0.026,0.121,0.057,0.271,0.061,0.29,-0.004,-0.019
Jawad El Yamiq,Real Valladolid,La Liga,2022,30,Defender,CB,2,113,0,,0.046,0.036,0.046,0.036,,,,,0,,0.008,0.006,0.007,0.006,0.025,0.02,0.051,0.04,0.031,0.024,0.02,0.016
Tanguy Nianzou,Sevilla,La Liga,2022,20,Defender,CB,3,270,0,,0.121,0.04,0.121,0.04,,,,,0,,0.036,0.012,0.036,0.012,0.024,0.008,0.219,0.073,0.13,0.043,0.089,0.03
Sergio Busquets,Barcelona,La Liga,2022,34,Midfielder,DMC,3,255,0,,0.022,0.008,0.022,0.008,0.09,,0.067,,0,,0.122,0.043,0.12,0.042,0.024,0.008,0.063,0.022,0.176,0.062,-0.112,-0.04
Florian Lejeune,Rayo Vallecano,La Liga,2022,31,Defender,CB,3,196,1,0.459,0.048,0.022,0.048,0.022,0.018,,-0.01,,0,,0.033,0.015,0.03,0.014,0.023,0.011,0.097,0.045,0.091,0.042,0.006,0.003
Rubén Sobrino,Cádiz,La Liga,2022,30,Forward,FW,1,27,0,,,,,,,,,,0,,0.03,0.1,0.03,0.099,0.023,0.077,0.007,0.023,0.009,0.031,-0.002,-0.008
Yangel Herrera,Girona,La Liga,2022,24,Midfielder,CM,3,116,0,,0.039,0.03,0.039,0.03,,,,,1,0.776,0.127,0.099,0.127,0.099,0.023,0.018,-0.006,-0.005,-0.017,-0.013,0.011,0.008
Ander Barrenetxea,Real Sociedad,La Liga,2022,20,Forward,WAM,3,43,0,,,,,,,,,,0,,0.033,0.069,0.033,0.069,0.023,0.047,-0.001,-0.003,-0.002,-0.003,0,0.001
Fernando,Sevilla,La Liga,2022,35,Midfielder,DMC,4,360,0,,,,,,,,,,0,,0.056,0.014,0.055,0.014,0.022,0.006,0.131,0.033,0.115,0.029,0.017,0.004
Sergio Herrera,Osasuna,La Liga,2022,29,Goalkeeper,GK,4,360,0,,,,,,,1.381,,-1.172,0,,0.035,0.009,0.026,0.006,0.021,0.005,0.189,0.047,0.186,0.047,0.003,0.001
