Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Ricardinho,Santa Clara,Primeira Liga,2022,24,Midfielder,CM,4,249,0,,0.106,0.038,0.106,0.038,0.178,,0.152,,0,,0.23,0.083,0.229,0.083,0.163,0.059,0.276,0.1,0.205,0.074,0.071,0.026
Nélson Monte,Chaves,Primeira Liga,2022,27,Defender,CB,4,359,0,,,,,,,,,,0,,0.185,0.046,0.184,0.046,0.162,0.041,0.242,0.061,0.221,0.055,0.021,0.005
Pierre Sagna,Santa Clara,Primeira Liga,2022,32,Defender,FB,5,377,0,,0.039,0.009,0.039,0.009,,,,,0,,0.587,0.14,0.173,0.041,0.159,0.038,0.374,0.089,0.316,0.075,0.058,0.014
Kenji Gorré,Boavista,Primeira Liga,2022,27,Forward,WAM,4,323,0,,0.541,0.151,0.541,0.151,0.065,,-0.029,,0,,0.38,0.106,0.329,0.092,0.159,0.044,0.406,0.113,0.263,0.073,0.144,0.04
Nicolás Gaitán,Paços de Ferreira,Primeira Liga,2022,34,Midfielder,CAM,2,104,0,,0.406,0.351,0.406,0.351,,,,,0,,0.232,0.201,0.038,0.033,0.157,0.136,0.022,0.019,0.008,0.007,0.014,0.012
Kevin Pina,Chaves,Primeira Liga,2022,25,Midfielder,DMC,4,283,0,,0.14,0.044,0.14,0.044,,,,,1,0.318,0.078,0.025,0.078,0.025,0.157,0.05,0.112,0.036,0.09,0.029,0.022,0.007
Bogdan Milovanov,Arouca,Primeira Liga,2022,24,Defender,FB,5,283,0,,0.037,0.012,0.037,0.012,,,,,0,,0.173,0.055,0.166,0.053,0.155,0.049,0.23,0.073,0.203,0.065,0.027,0.009
Pedro Brazão,FC Famalicão,Primeira Liga,2022,19,Midfielder,CAM,3,149,0,,0.079,0.048,0.079,0.048,,,,,0,,0.147,0.088,0.147,0.088,0.154,0.093,0.167,0.101,0.125,0.076,0.042,0.025
André Silva,Vitória Guimarães,Primeira Liga,2022,25,Forward,FW,2,142,2,1.268,1.033,0.654,1.033,0.654,0.988,,0.105,,0,,0.029,0.019,0.029,0.019,0.154,0.098,0.071,0.045,-0.036,-0.023,0.107,0.068
Florentino,Benfica,Primeira Liga,2022,23,Midfielder,DMC,5,370,0,,0.038,0.009,0.038,0.009,,,,,0,,0.226,0.055,0.225,0.055,0.152,0.037,0.484,0.118,0.433,0.105,0.051,0.012
Nermin Zolotic,Casa Pia,Primeira Liga,2022,29,Defender,CB,5,422,0,,0.027,0.006,0.027,0.006,,,,,0,,0.174,0.037,0.173,0.037,0.148,0.032,0.455,0.097,0.387,0.083,0.068,0.015
Santiago Colombatto,FC Famalicão,Primeira Liga,2022,25,Midfielder,DMC,4,233,0,,0.103,0.04,0.103,0.04,0.241,,0.16,,0,,0.078,0.03,0.078,0.03,0.147,0.057,0.072,0.028,0.071,0.028,0.001,0
Ângelo Neto,Casa Pia,Primeira Liga,2022,31,Midfielder,CM,5,334,0,,0.044,0.012,0.044,0.012,,,,,0,,0.179,0.048,0.138,0.037,0.143,0.039,0.184,0.05,0.172,0.046,0.013,0.003
Rochinha,Sporting CP,Primeira Liga,2022,27,Forward,CAM,5,157,0,,0.311,0.178,0.311,0.178,0.401,,0.284,,1,0.573,0.087,0.05,0.087,0.05,0.137,0.078,0.171,0.098,0.086,0.049,0.085,0.049
Kayky,Paços de Ferreira,Primeira Liga,2022,19,Forward,WAM,2,127,0,,0.076,0.054,0.076,0.054,0.579,,0.503,,0,,0.092,0.065,0.092,0.065,0.136,0.097,0.101,0.071,0.061,0.043,0.04,0.028
Álex Millán,FC Famalicão,Primeira Liga,2022,22,Forward,FW,4,323,0,,1.184,0.33,0.402,0.112,1.94,,0.693,,0,,0.476,0.133,0.476,0.133,0.133,0.037,0.08,0.022,-0.028,-0.008,0.108,0.03
Rodrigo Ribeiro,Sporting CP,Primeira Liga,2022,17,Forward,FW,1,16,0,,0.142,0.799,0.142,0.799,0.076,,-0.047,,0,,0.002,0.009,0.002,0.009,0.132,0.74,0,0,-0.013,-0.073,0.013,0.074
João Teixeira,Chaves,Primeira Liga,2022,28,Midfielder,CAM,3,233,1,0.386,1.353,0.522,0.571,0.22,0.628,,0.344,,0,,0.183,0.071,0.073,0.028,0.131,0.051,0.268,0.103,0.113,0.044,0.155,0.06
Takahiro Kunimoto,Casa Pia,Primeira Liga,2022,24,Midfielder,CM,5,377,1,0.239,0.677,0.162,0.677,0.162,0.798,,0.339,,1,0.239,0.268,0.064,0.196,0.047,0.13,0.031,0.067,0.016,-0.015,-0.004,0.082,0.02
Henrique Gomes,Gil Vicente,Primeira Liga,2022,26,Defender,FB,2,169,0,,0.085,0.045,0.085,0.045,,,,,0,,0.066,0.035,0.064,0.034,0.123,0.066,0.099,0.053,0.069,0.037,0.029,0.016
Castro,Sporting Braga,Primeira Liga,2022,34,Midfielder,CM,5,126,1,0.714,0.097,0.07,0.097,0.07,0.302,,0.266,,0,,0.041,0.03,0.041,0.029,0.121,0.087,0.045,0.032,0.029,0.021,0.016,0.011
Matheus Nunes,Sporting CP,Primeira Liga,2022,24,Midfielder,CM,2,180,1,0.5,0.057,0.028,0.057,0.028,0.099,,0.078,,1,0.5,0.252,0.126,0.251,0.126,0.118,0.059,0.057,0.029,-0.012,-0.006,0.069,0.034
Raphael Guzzo,Vizela,Primeira Liga,2022,27,Midfielder,FW,5,372,0,,0.202,0.049,0.202,0.049,,,,,3,0.726,0.375,0.091,0.111,0.027,0.114,0.027,0.185,0.045,0.121,0.029,0.063,0.015
Matheus Bueno,Gil Vicente,Primeira Liga,2022,24,Midfielder,CM,3,141,0,,0.113,0.072,0.113,0.072,0.18,,0.144,,0,,0.056,0.036,0.05,0.032,0.113,0.072,0.16,0.102,0.145,0.093,0.015,0.01
Kiki,Vizela,Primeira Liga,2022,27,Defender,FB,5,450,0,,0.116,0.023,0.116,0.023,,,,,0,,0.29,0.058,0.284,0.057,0.112,0.022,0.343,0.069,0.334,0.067,0.009,0.002
Hidemasa Morita,Sporting CP,Primeira Liga,2022,27,Midfielder,CM,5,275,0,,0.144,0.047,0.144,0.047,,,,,0,,0.044,0.014,0.043,0.014,0.11,0.036,-0.047,-0.016,0.019,0.006,-0.067,-0.022
André Bukia,Arouca,Primeira Liga,2022,27,Forward,WAM,5,368,0,,0.114,0.028,0.114,0.028,0.033,,-0.012,,0,,0.058,0.014,0.058,0.014,0.109,0.027,0.143,0.035,0.057,0.014,0.086,0.021
Antunes,Paços de Ferreira,Primeira Liga,2022,35,Defender,FB,4,350,0,,0.117,0.03,0.117,0.03,0.515,,0.434,,1,0.257,0.104,0.027,0.091,0.023,0.108,0.028,0.02,0.005,0.254,0.065,-0.235,-0.06
João Carvalho,Estoril Praia,Primeira Liga,2022,25,Midfielder,CAM,2,31,0,,0.105,0.305,0.105,0.305,,,,,0,,0.013,0.037,0.003,0.008,0.104,0.302,0.004,0.011,0.001,0.002,0.003,0.009
Miguel Maga,Vitória Guimarães,Primeira Liga,2022,19,Defender,FB,3,203,0,,,,,,,,,,0,,0.126,0.056,0.123,0.054,0.102,0.045,0.16,0.071,0.125,0.056,0.035,0.016
Pedro Sá,Portimonense,Primeira Liga,2022,28,Midfielder,DMC,4,290,0,,0.027,0.008,0.027,0.008,,,,,1,0.31,0.121,0.038,0.117,0.036,0.101,0.031,0.088,0.027,0.079,0.025,0.008,0.003
Jonathan Arriba,Chaves,Primeira Liga,2022,20,Midfielder,CAM,3,50,0,,0.149,0.268,0.149,0.268,0.014,,-0.012,,1,1.8,0.067,0.12,0.067,0.12,0.099,0.178,0.045,0.081,0.038,0.068,0.007,0.013
Oriol Busquets,Arouca,Primeira Liga,2022,23,Midfielder,DMC,4,285,0,,0.054,0.017,0.054,0.017,,,,,0,,0.062,0.019,0.061,0.019,0.098,0.031,0.137,0.043,0.142,0.045,-0.005,-0.002
Juninho,Chaves,Primeira Liga,2022,25,Forward,WAM,2,68,1,1.324,0.164,0.217,0.164,0.217,0.204,,0.057,,0,,0.002,0.003,0.002,0.003,0.097,0.128,0.021,0.028,-0.013,-0.018,0.034,0.046
Carraça,Gil Vicente,Primeira Liga,2022,29,Defender,FB,3,157,0,,,,,,,,,,0,,0.17,0.097,0.105,0.06,0.094,0.054,0.256,0.147,0.237,0.136,0.019,0.011
Manuel Ugarte,Sporting CP,Primeira Liga,2022,21,Midfielder,DMC,5,333,0,,0.056,0.015,0.056,0.015,0.035,,0.007,,0,,0.096,0.026,0.095,0.026,0.093,0.025,-0.202,-0.055,-0.071,-0.019,-0.131,-0.035
Hélder Morim,Chaves,Primeira Liga,2022,21,Midfielder,DMC,3,41,0,,0.094,0.207,0.094,0.207,,,,,0,,0.092,0.202,0.011,0.024,0.092,0.201,0.048,0.105,0.035,0.078,0.012,0.027
Anderson Carvalho,Santa Clara,Primeira Liga,2022,32,Midfielder,CM,5,297,0,,0.101,0.031,0.101,0.031,0.046,,0.013,,0,,0.09,0.027,0.09,0.027,0.091,0.028,0.151,0.046,0.136,0.041,0.015,0.004
