Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Luuk Wouters,RKC Waalwijk,Eredivise,2022,23,Defender,FB,2,74,0,,,,,,,,,,0,,0.003,0.004,0.003,0.003,0.001,0.002,0.024,0.029,0.024,0.029,,
Mattijs Branderhorst,N.E.C.,Eredivise,2022,28,Goalkeeper,GK,1,90,0,,,,,,,0.655,,-0.527,0,,0.003,0.003,0.002,0.002,0.001,0.001,0.024,0.024,0.025,0.025,-0.001,-0.001
Andri Baldursson,N.E.C.,Eredivise,2022,20,Midfielder,CM,2,3,0,,,,,,,,,,0,,0.001,0.026,0.001,0.026,0.001,0.021,0.012,0.356,0.012,0.356,,
Ruben Kluivert,FC Utrecht,Eredivise,2022,21,Defender,CB,4,159,0,,,,,,,,,,0,,0.021,0.012,0.021,0.012,0,0,0.126,0.072,0.112,0.064,0.014,0.008
Vasilis Sourlis,Fortuna Sittard,Eredivise,2022,19,Forward,FW,1,8,0,,,,,,,,,,0,,0,0.005,0,0.005,0,0.003,0,-0.003,0,-0.002,,
Luca Everink,FC Twente,Eredivise,2022,21,Defender,CB,2,20,0,,,,,,,,,,0,,0.005,0.024,0.005,0.022,0,0.001,-0.001,-0.004,-0.001,-0.004,0,0
Omar Rekik,Sparta Rotterdam,Eredivise,2022,20,Defender,DMC,1,12,0,,,,,,,,,,0,,0.001,0.007,0.001,0.007,0,0.001,0.002,0.014,-0.008,-0.056,0.009,0.07
Aaron Meijers,Sparta Rotterdam,Eredivise,2022,34,Defender,FB,1,26,0,,,,,,,,,,0,,0.002,0.006,0.002,0.005,0,0,0.03,0.103,0.029,0.099,0.001,0.004
Remy Vita,Fortuna Sittard,Eredivise,2022,21,Defender,FB,2,58,0,,,,,,,,,,0,,0.009,0.014,0.009,0.013,0,0,0.007,0.011,0.003,0.005,0.004,0.006
Michael Heylen,FC Emmen,Eredivise,2022,28,Defender,CB,3,23,0,,,,,,,,,,0,,0.001,0.003,0.001,0.002,0,0,-0.001,-0.003,-0.003,-0.012,0.002,0.01
Tomás Hájek,Vitesse,Eredivise,2022,30,Defender,CB,1,33,0,,,,,,,,,,0,,0.001,0.002,0.001,0.002,0,0,0.005,0.014,0.005,0.013,0,0.001
Luuk Admiraal,Excelsior Rotterdam,Eredivise,2022,20,Forward,FW,1,1,0,,,,,,,,,,0,,0,0.024,0,0.024,0,-0.012,0.003,0.282,0.001,0.128,0.002,0.155
Riechedly Bazoer,AZ,Eredivise,2022,25,Midfielder,CM,1,11,0,,,,,,,,,,0,,0.001,0.006,0.001,0.006,0,-0.002,-0.001,-0.009,-0.001,-0.007,0,-0.002
Aventis Aventisian,Go Ahead Eagles,Eredivise,2022,20,Defender,CB,1,5,0,,,,,,,,,,0,,0,0.003,0,0.003,0,-0.009,-0.004,-0.077,-0.004,-0.077,,
Damil Dankerlui,FC Groningen,Eredivise,2022,26,Defender,FB,1,3,0,,,,,,,,,,0,,,,,,-0.001,-0.026,,,,,,
Kevin Felida,RKC Waalwijk,Eredivise,2022,22,Midfielder,CM,1,7,0,,,,,,,,,,0,,0.001,0.013,0.001,0.013,-0.001,-0.015,-0.015,-0.189,-0.008,-0.102,-0.007,-0.088
Ilias Bronkhorst,N.E.C.,Eredivise,2022,25,Defender,FB,1,14,0,,,,,,,,,,0,,0.001,0.005,0.001,0.005,-0.001,-0.008,0.004,0.028,0.003,0.021,0.001,0.006
Daan Huisman,Vitesse,Eredivise,2022,20,Midfielder,CM,2,38,0,,,,,,,,,,0,,0.003,0.007,0.003,0.007,-0.002,-0.006,-0.015,-0.036,-0.007,-0.016,-0.009,-0.02
Patrick Brouwer,Sparta Rotterdam,Eredivise,2022,21,Midfielder,CM,1,1,0,,,,,,,,,,0,,,,,,-0.003,-0.246,,,,,,
Magnus Mattsson,N.E.C.,Eredivise,2022,23,Midfielder,CM,1,10,0,,,,,,,,,,0,,0.009,0.082,0.009,0.08,-0.003,-0.027,0,0.004,-0.008,-0.075,0.009,0.079
Federico Mattiello,Go Ahead Eagles,Eredivise,2022,27,Defender,FB,1,3,0,,,,,,,,,,0,,0.001,0.016,0.001,0.016,-0.004,-0.121,0,0.011,0,0.012,,
Charles-Andreas Brym,Sparta Rotterdam,Eredivise,2022,24,Forward,FW,2,10,0,,,,,,,,,,0,,0.002,0.022,0.002,0.022,-0.006,-0.052,0.007,0.067,-0.005,-0.048,0.013,0.115
Pawel Bochniewicz,sc Heerenveen,Eredivise,2022,26,Defender,CB,6,540,0,,0.114,0.019,0.114,0.019,,,,,0,,0.054,0.009,0.052,0.009,-0.008,-0.001,0.202,0.034,0.135,0.022,0.067,0.011
