Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Benjamin Leroy,Ajaccio,Ligue 1,2022,33,Goalkeeper,GK,7,630,0,,,,,,,9.104,,-0.208,0,,0.069,0.01,0.067,0.01,0.063,0.009,0.228,0.033,0.224,0.032,0.004,0.001
Marcus Coco,Nantes,Ligue 1,2022,26,Forward,WAM,6,206,0,,0.098,0.043,0.098,0.043,,,,,0,,0.2,0.087,0.2,0.087,0.062,0.027,0.089,0.039,0.071,0.031,0.018,0.008
Maxime Le Marchand,Strasbourg,Ligue 1,2022,32,Defender,FB,6,446,0,,0.034,0.007,0.034,0.007,,,,,0,,0.11,0.022,0.109,0.022,0.059,0.012,0.461,0.093,0.37,0.075,0.091,0.018
Dany Jean,Strasbourg,Ligue 1,2022,19,Midfielder,WAM,1,8,0,,,,,,,,,,0,,0.065,0.733,0.065,0.733,0.055,0.622,0.062,0.694,0.053,0.601,0.008,0.093
Mory Diaw,Clermont,Ligue 1,2022,29,Goalkeeper,GK,7,630,0,,,,,,,15.2,,0.342,0,,0.082,0.012,0.061,0.009,0.054,0.008,0.264,0.038,0.266,0.038,-0.002,0
Gaël Kakuta,Lens,Ligue 1,2022,31,Midfielder,CAM,1,11,0,,0.053,0.436,0.053,0.436,,,,,0,,0,0.004,0,0.004,0.053,0.431,0.011,0.091,-0.009,-0.073,0.02,0.164
Matz Sels,Strasbourg,Ligue 1,2022,30,Goalkeeper,GK,7,630,0,,,,,,,9.388,,0.254,0,,0.061,0.009,0.058,0.008,0.052,0.007,0.147,0.021,0.143,0.02,0.004,0.001
Oumar Gonzalez,Ajaccio,Ligue 1,2022,24,Defender,CB,6,535,0,,0.12,0.02,0.12,0.02,,,,,0,,0.076,0.013,0.075,0.013,0.048,0.008,0.179,0.03,0.112,0.019,0.067,0.011
Yohann Magnin,Clermont,Ligue 1,2022,25,Midfielder,DMC,7,342,0,,0.078,0.02,0.078,0.02,,,,,0,,0.137,0.036,0.137,0.036,0.046,0.012,-0.04,-0.011,0.084,0.022,-0.125,-0.033
Halid Sabanovic,Angers,Ligue 1,2022,23,Defender,FB,4,259,0,,,,,,,,,,0,,0.054,0.019,0.051,0.018,0.04,0.014,0.155,0.054,0.11,0.038,0.045,0.015
Alexis Beka Beka,Nice,Ligue 1,2022,21,Midfielder,FB,5,229,0,,0.057,0.022,0.057,0.022,0.035,,0.022,,0,,0.076,0.03,0.076,0.03,0.039,0.015,0.132,0.052,0.063,0.025,0.069,0.027
Jean-Kévin Duverne,Brest,Ligue 1,2022,25,Defender,CB,7,590,0,,0.093,0.014,0.093,0.014,,,,,0,,0.184,0.028,0.177,0.027,0.038,0.006,0.489,0.075,0.35,0.053,0.139,0.021
Ismaël Doukouré,Strasbourg,Ligue 1,2022,19,Defender,CB,4,274,0,,,,,,,,,,0,,0.053,0.018,0.05,0.017,0.038,0.012,0.276,0.091,0.255,0.084,0.022,0.007
Yan Valery,Angers,Ligue 1,2022,23,Defender,FB,2,117,0,,0.1,0.077,0.1,0.077,0.212,,0.179,,0,,,,,,0.037,0.029,,,0.057,0.044,,
Romain Del Castillo,Brest,Ligue 1,2022,26,Midfielder,WAM,1,16,1,5.625,0.782,4.397,,,0.905,,0.123,,0,,0.091,0.511,0.035,0.196,0.034,0.193,0.103,0.578,0.101,0.566,0.002,0.012
Kévin Biakolo,Toulouse,Ligue 1,2022,18,Midfielder,CM,4,47,0,,0.035,0.066,0.035,0.066,,,,,0,,0.039,0.074,0.039,0.074,0.034,0.064,0.046,0.089,0.036,0.069,0.01,0.02
Marquinhos,Paris Saint-Germain,Ligue 1,2022,28,Defender,CB,7,540,1,0.167,0.62,0.103,0.62,0.103,0.517,,0,,0,,0.22,0.037,0.219,0.037,0.032,0.005,0.374,0.062,0.217,0.036,0.157,0.026
